iter	Passed	Remaining
0	27	27548
1	47	23555
2	63	21041
3	75	18808
4	89	17759
5	104	17316
6	121	17226
7	136	16891
8	149	16480
9	165	16396
10	180	16188
11	193	15931
12	213	16227
13	225	15849
14	244	16026
15	255	15700
16	273	15831
17	288	15746
18	301	15563
19	313	15358
20	329	15350
21	341	15185
22	359	15253
23	370	15085
24	384	14979
25	397	14877
26	412	14881
27	432	15012
28	452	15155
29	466	15090
30	485	15189
31	502	15202
32	523	15327
33	539	15336
34	559	15429
35	577	15454
36	591	15406
37	606	15355
38	628	15484
39	640	15368
40	651	15248
41	666	15193
42	685	15262
43	703	15283
44	716	15196
45	735	15258
46	748	15183
47	760	15080
48	775	15043
49	792	15059
50	811	15105
51	828	15107
52	841	15027
53	857	15019
54	869	14937
55	882	14882
56	901	14914
57	914	14851
58	928	14804
59	941	14747
60	956	14725
61	974	14737
62	985	14657
63	1003	14670
64	1020	14679
65	1039	14707
66	1062	14788
67	1071	14686
68	1087	14674
69	1108	14722
70	1124	14719
71	1137	14655
72	1151	14620
73	1164	14575
74	1178	14532
75	1195	14540
76	1208	14480
77	1223	14461
78	1235	14408
79	1248	14358
80	1262	14328
81	1274	14271
82	1290	14257
83	1311	14303
84	1323	14251
85	1346	14306
86	1359	14269
87	1374	14249
88	1385	14185
89	1398	14139
90	1411	14104
91	1424	14058
92	1439	14040
93	1454	14020
94	1464	13948
95	1476	13901
96	1495	13917
97	1511	13907
98	1525	13879
99	1537	13834
100	1549	13790
101	1564	13769
102	1575	13719
103	1591	13709
104	1605	13689
105	1621	13672
106	1632	13624
107	1643	13576
108	1656	13536
109	1670	13512
110	1682	13474
111	1699	13473
112	1709	13420
113	1723	13392
114	1738	13380
115	1751	13348
116	1764	13315
117	1781	13317
118	1798	13318
119	1819	13342
120	1836	13340
121	1851	13321
122	1863	13285
123	1880	13287
124	1898	13291
125	1913	13270
126	1923	13222
127	1938	13204
128	1950	13167
129	1961	13127
130	1977	13115
131	1991	13096
132	2006	13079
133	2018	13047
134	2034	13037
135	2047	13006
136	2062	12993
137	2075	12962
138	2092	12964
139	2104	12928
140	2119	12911
141	2137	12916
142	2151	12895
143	2167	12881
144	2177	12840
145	2193	12830
146	2205	12799
147	2223	12797
148	2240	12793
149	2252	12766
150	2265	12739
151	2286	12756
152	2304	12757
153	2325	12776
154	2339	12754
155	2355	12746
156	2370	12728
157	2389	12736
158	2402	12708
159	2417	12690
160	2434	12687
161	2446	12653
162	2460	12634
163	2475	12618
164	2492	12613
165	2506	12591
166	2524	12592
167	2536	12562
168	2552	12548
169	2564	12521
170	2582	12518
171	2594	12492
172	2610	12478
173	2624	12456
174	2643	12462
175	2664	12473
176	2676	12446
177	2698	12459
178	2711	12437
179	2724	12410
180	2736	12383
181	2753	12373
182	2764	12343
183	2784	12347
184	2794	12312
185	2806	12283
186	2819	12259
187	2833	12237
188	2847	12220
189	2867	12222
190	2881	12206
191	2895	12183
192	2907	12156
193	2924	12150
194	2936	12121
195	2950	12102
196	2962	12075
197	2980	12072
198	2993	12048
199	3008	12034
200	3023	12020
201	3037	11998
202	3048	11969
203	3064	11959
204	3078	11938
205	3093	11924
206	3105	11896
207	3119	11878
208	3135	11867
209	3149	11847
210	3165	11835
211	3180	11820
212	3197	11815
213	3214	11806
214	3230	11796
215	3244	11778
216	3259	11760
217	3273	11742
218	3295	11752
219	3307	11726
220	3321	11706
221	3334	11685
222	3349	11672
223	3363	11652
224	3378	11635
225	3389	11609
226	3408	11605
227	3421	11585
228	3438	11575
229	3450	11550
230	3462	11526
231	3475	11504
232	3490	11491
233	3506	11477
234	3525	11477
235	3542	11467
236	3557	11453
237	3573	11440
238	3585	11416
239	3597	11392
240	3617	11391
241	3629	11367
242	3645	11356
243	3663	11351
244	3677	11333
245	3690	11312
246	3706	11300
247	3719	11279
248	3734	11264
249	3749	11248
250	3763	11230
251	3783	11231
252	3806	11238
253	3832	11255
254	3849	11247
255	3871	11251
256	3892	11253
257	3918	11270
258	3936	11261
259	3954	11256
260	3976	11259
261	3997	11261
262	4028	11287
263	4043	11271
264	4065	11275
265	4082	11266
266	4102	11263
267	4117	11245
268	4134	11234
269	4154	11232
270	4169	11216
271	4188	11211
272	4206	11202
273	4222	11189
274	4241	11182
275	4252	11155
276	4267	11137
277	4278	11112
278	4290	11087
279	4304	11069
280	4316	11045
281	4331	11028
282	4346	11011
283	4364	11004
284	4381	10991
285	4397	10978
286	4409	10955
287	4427	10945
288	4438	10918
289	4452	10899
290	4464	10877
291	4480	10862
292	4498	10855
293	4517	10847
294	4530	10825
295	4543	10807
296	4555	10783
297	4575	10777
298	4587	10755
299	4600	10733
300	4612	10711
301	4624	10688
302	4640	10674
303	4653	10653
304	4669	10640
305	4680	10615
306	4692	10592
307	4705	10572
308	4720	10556
309	4733	10535
310	4748	10520
311	4761	10500
312	4783	10498
313	4797	10480
314	4817	10476
315	4834	10463
316	4850	10451
317	4866	10437
318	4879	10417
319	4895	10403
320	4911	10388
321	4924	10368
322	4938	10351
323	4953	10336
324	4970	10323
325	4987	10312
326	4999	10290
327	5015	10276
328	5027	10254
329	5043	10240
330	5055	10217
331	5073	10207
332	5086	10187
333	5102	10173
334	5124	10171
335	5135	10148
336	5148	10128
337	5164	10115
338	5176	10092
339	5194	10083
340	5212	10072
341	5237	10077
342	5252	10060
343	5267	10045
344	5283	10030
345	5298	10015
346	5315	10003
347	5333	9993
348	5348	9977
349	5368	9969
350	5384	9955
351	5403	9947
352	5420	9935
